gene,avg_bulk_CPM,hgnc_symbol
ENSG00000140526,227.00167405089732,ABHD2
ENSG00000135842,226.8661054312356,NIBAN1
ENSG00000138688,226.77767033746255,BLTP1
ENSG00000105887,226.6166596869324,MTPN
ENSG00000153113,225.45745344133073,CAST
ENSG00000135387,225.2774374167141,CAPRIN1
ENSG00000101347,225.0194227112159,SAMHD1
ENSG00000167986,224.9805128187807,DDB1
ENSG00000171560,224.51938769963883,FGA
ENSG00000078674,224.25063816404753,PCM1
ENSG00000277443,223.84769967456023,MARCKS
ENSG00000118785,223.43827029630864,SPP1
ENSG00000104419,223.30355175324863,NDRG1
ENSG00000129003,223.11203008613313,VPS13C
ENSG00000089597,222.74603951832083,GANAB
ENSG00000108515,222.565784952986,ENO3
ENSG00000133639,222.5094032914471,BTG1
ENSG00000090060,222.12688151916944,PAPOLA
ENSG00000058668,221.5007053197473,ATP2B4
ENSG00000077097,221.45361000033353,TOP2B
ENSG00000254087,221.3448284984173,LYN
ENSG00000170348,221.3075924574054,TMED10
ENSG00000107372,221.23408177716485,ZFAND5
ENSG00000055609,220.9969286420479,KMT2C
ENSG00000047410,220.7106546810538,TPR
ENSG00000145495,220.68933846584383,MARCHF6
ENSG00000132424,219.8158032728884,PNISR
ENSG00000100380,219.70486924071264,ST13
ENSG00000211445,219.15047545443403,GPX3
ENSG00000000938,218.96158331466273,FGR
ENSG00000100644,218.7411307425199,HIF1A
ENSG00000198431,218.63861030407924,TXNRD1
ENSG00000198183,218.55640911023627,BPIFA1
ENSG00000128989,218.28206549298363,ARPP19
ENSG00000133657,217.9348267377785,ATP13A3
ENSG00000115760,217.92282985136896,BIRC6
ENSG00000124193,217.8955256489922,SRSF6
ENSG00000122359,217.67827124362375,ANXA11
ENSG00000116754,217.67110228695904,SRSF11
ENSG00000177156,217.43993200994288,TALDO1
ENSG00000005893,217.11040273839504,LAMP2
ENSG00000142657,216.99462697640328,PGD
ENSG00000029363,216.63009817833185,BCLAF1
ENSG00000166501,216.42986488057073,PRKCB
ENSG00000109472,215.70644927279076,CPE
ENSG00000177885,215.53851661595417,GRB2
ENSG00000132341,215.41807457376572,RAN
ENSG00000076928,215.14015539525528,ARHGEF1
ENSG00000122218,214.87376396354537,COPA
ENSG00000122786,214.8559496324104,CALD1
ENSG00000070961,214.76856556346976,ATP2B1
ENSG00000005810,214.59711946728208,MYCBP2
ENSG00000185896,214.58794064737057,LAMP1
ENSG00000114854,214.5623905086067,TNNC1
ENSG00000170004,214.3717075493931,CHD3
ENSG00000170315,214.3592348413593,UBB
ENSG00000197622,213.9786523364855,CDC42SE1
ENSG00000115935,213.88291610755505,WIPF1
ENSG00000110422,213.76703726077125,HIPK3
ENSG00000054523,213.5576791635358,KIF1B
ENSG00000247556,213.34530139285425,OIP5-AS1
ENSG00000084754,213.17828404009416,HADHA
ENSG00000197893,213.14693507868637,NRAP
ENSG00000180871,212.87660199387884,CXCR2
ENSG00000165678,211.74344349481947,GHITM
ENSG00000002834,211.71121333931904,LASP1
ENSG00000136872,211.66133002204936,ALDOB
ENSG00000101608,211.2492080086175,MYL12A
ENSG00000155980,211.13698288356431,KIF5A
ENSG00000125107,211.10793342287033,CNOT1
ENSG00000169504,211.05362347439353,CLIC4
ENSG00000130255,210.55155311965297,RPL36
ENSG00000149311,210.51253836022877,ATM
ENSG00000164754,210.48358957142503,RAD21
ENSG00000153201,210.29366874494735,RANBP2
ENSG00000154451,209.79534678878437,GBP5
ENSG00000104852,209.33349611130157,SNRNP70
ENSG00000171603,209.28285807951875,CLSTN1
ENSG00000171988,209.1412401132525,JMJD1C
ENSG00000085063,209.02502729452272,CD59
ENSG00000131981,208.67167063624933,LGALS3
ENSG00000121966,208.64832323554708,CXCR4
ENSG00000125868,208.61534189682953,DSTN
ENSG00000117632,208.3550457338681,STMN1
ENSG00000272398,208.32324762548367,CD24
ENSG00000103657,208.2668673409127,HERC1
ENSG00000173991,208.2583079129386,TCAP
ENSG00000110651,207.7059973719957,CD81
ENSG00000197324,207.69941411419975,LRP10
ENSG00000187498,207.60140862915313,COL4A1
ENSG00000126247,207.1523254439688,CAPNS1
ENSG00000110958,207.01869194533649,PTGES3
ENSG00000109046,206.72644051881983,WSB1
ENSG00000124107,206.39448737742484,SLPI
ENSG00000118137,206.2219670873124,APOA1
ENSG00000116209,206.0254338620883,TMEM59
ENSG00000170421,205.85153554132808,KRT8
ENSG00000084207,205.2809774191457,GSTP1
ENSG00000130294,204.996484962095,KIF1A
ENSG00000133030,204.91040960690145,MPRIP
ENSG00000106948,204.64004943957192,AKNA
ENSG00000127483,204.31184410279357,HP1BP3
ENSG00000131389,204.2420124944071,SLC6A6
ENSG00000175215,203.46950159301028,CTDSP2
ENSG00000125304,203.38836173205533,TM9SF2
ENSG00000035403,203.16082844798265,VCL
ENSG00000171051,203.0426581852102,FPR1
ENSG00000064393,202.98254813272283,HIPK2
ENSG00000111371,202.8827059285227,SLC38A1
ENSG00000106682,202.87839578239743,EIF4H
ENSG00000148175,202.78092808270512,STOM
ENSG00000178104,202.7440453873916,PDE4DIP
ENSG00000136238,202.53557995699097,RAC1
ENSG00000108848,202.20330514067112,LUC7L3
ENSG00000112851,201.94101700247063,ERBIN
ENSG00000140391,201.87394299345712,TSPAN3
ENSG00000114857,201.84141105319495,NKTR
ENSG00000131504,201.78587321584536,DIAPH1
ENSG00000155096,201.4202488226937,AZIN1
ENSG00000119707,201.31656502832055,RBM25
ENSG00000196914,201.24480189617591,ARHGEF12
ENSG00000229117,201.1832098153882,RPL41
ENSG00000179010,201.091355385254,MRFAP1
ENSG00000077549,200.99828849037175,CAPZB
ENSG00000165795,200.83865470294373,NDRG2
