Gene_EntrezID,DE_Prior_Rank,gene_symbol
8942,0.992671604423117,KYNU
3310,0.992671604423117,HSPA6
6283,0.992593365324431,S100A12
8013,0.992515126225746,NR4A3
6351,0.992515126225746,CCL4
10125,0.99243688712706,RASGRP1
8876,0.992358648028375,VNN1
5918,0.992358648028375,RARRES1
7145,0.992280408929689,TNS1
12,0.992228249530565,SERPINA3
2335,0.992176090131442,FN1
6095,0.992123930732318,RORA
1475,0.992071771333194,CSTA
133,0.992019611934071,ADM
10457,0.991967452534947,GPNMB
56892,0.991915293135823,TCIM
3213,0.991863133736699,HOXB3
590,0.991810974337576,BCHE
51338,0.991758814938452,MS4A4A
51363,0.991680575839766,CHST15
3304,0.991680575839766,HSPA1B
23213,0.991602336741081,SULF1
3880,0.991550177341957,KRT19
9768,0.991498017942833,PCLAF
586,0.99144585854371,BCAT1
4693,0.991393699144586,NDP
3553,0.991341539745462,IL1B
10874,0.991263300646777,NMU
3696,0.991263300646777,ITGB8
171024,0.991185061548091,SYNPO2
1191,0.991132902148967,CLU
27299,0.991080742749843,ADAMDEC1
4060,0.99102858335072,LUM
2823,0.990976423951596,GPM6A
3759,0.99089818485291,KCNJ2
2173,0.99089818485291,FABP7
240,0.990819945754225,ALOX5
4501,0.990767786355101,MT1X
25890,0.990689547256416,ABI3BP
1804,0.990689547256416,DPP6
306,0.99061130815773,ANXA3
9590,0.990559148758606,AKAP12
25975,0.990480909659921,EGFL6
10321,0.990480909659921,CRISP3
129607,0.990402670561235,CMPK2
5265,0.990350511162111,SERPINA1
387763,0.990272272063426,C11orf96
10537,0.990272272063426,UBD
143686,0.990167953265178,SESN3
4026,0.990167953265178,LPP
2167,0.990063634466931,FABP4
1879,0.990063634466931,EBF1
3200,0.989985395368245,HOXA3
256691,0.989933235969122,MAMDC2
3552,0.989881076569998,IL1A
6422,0.989828917170874,SFRP1
4069,0.98977675777175,LYZ
7035,0.989724598372627,TFPI
26585,0.989646359273941,GREM1
4939,0.989646359273941,OAS2
1675,0.989568120175256,CFD
10562,0.989515960776132,OLFM4
2619,0.989463801377008,GAS1
4318,0.989411641977884,MMP9
64332,0.989359482578761,NFKBIZ
9841,0.989307323179637,ZBTB24
51514,0.989229084080951,DTL
3479,0.989229084080951,IGF1
445347,0.989124765282704,TARP
51203,0.989124765282704,NUSAP1
9976,0.989046526184018,CLEC2B
3437,0.988994366784895,IFIT3
1359,0.988942207385771,CPA3
7538,0.988890047986647,ZFP36
10403,0.988837888587523,NDC80
3119,0.9887857291884,HLA-DQB1
3488,0.988733569789276,IGFBP5
30061,0.98865533069059,SLC40A1
5570,0.98865533069059,PKIB
1293,0.988577091591905,COL6A3
8614,0.988498852493219,STC2
960,0.988498852493219,CD44
2012,0.988420613394534,EMP1
3624,0.98836845399541,INHBA
8842,0.988316294596286,PROM1
94122,0.988264135197162,SYTL5
338758,0.988133736699353,ATP2B1-AS1
55790,0.988133736699353,CSGALNACT1
54541,0.988133736699353,DDIT4
8076,0.988133736699353,MFAP5
10643,0.988003338201544,IGF2BP3
83888,0.987925099102858,FGFBP2
5099,0.987925099102858,PCDH7
3491,0.987846860004173,CCN1
5552,0.987794700605049,SRGN
22836,0.987742541205925,RHOBTB3
7280,0.987690381806802,TUBB2A
3371,0.987638222407678,TNC
7850,0.987559983308992,IL1R2
2205,0.987559983308992,FCER1A
1287,0.987481744210307,COL4A5
80310,0.987377425412059,PDGFD
6622,0.987377425412059,SNCA
3486,0.987377425412059,IGFBP3
25878,0.987273106613812,MXRA5
9332,0.987220947214688,CD163
7412,0.987168787815564,VCAM1
11009,0.987116628416441,IL24
5270,0.987038389317755,SERPINE2
4233,0.987038389317755,MET
1805,0.986960150219069,DPT
57823,0.986855831420822,SLAMF7
7049,0.986855831420822,TGFBR3
2878,0.986855831420822,GPX3
63934,0.986751512622575,ZNF667
56253,0.986699353223451,CRTAM
6387,0.986647193824327,CXCL12
10409,0.986595034425203,BASP1
383,0.98654287502608,ARG1
155465,0.986490715626956,AGR3
91851,0.986438556227832,CHRDL1
643911,0.986360317129147,CRNDE
85477,0.986360317129147,SCIN
759,0.986282078030461,CA1
10628,0.986151679532652,TXNIP
10418,0.986151679532652,SPON1
9076,0.986151679532652,CLDN1
5997,0.986151679532652,RGS2
26577,0.985995201335281,PCOLCE2
10551,0.985995201335281,AGR2
3433,0.985890882537033,IFIT2
2643,0.985890882537033,GCH1
51313,0.985812643438348,GASK1B
3002,0.985734404339662,GZMB
481,0.985734404339662,ATP1B1
9934,0.985630085541415,P2RY14
7857,0.985630085541415,SCG2
3400,0.985551846442729,ID4
29968,0.985499687043605,PSAT1
54829,0.985447527644482,ASPN
54674,0.985395368245358,LRRN3
51316,0.985317129146672,PLAC8
6863,0.985317129146672,TAC1
1380,0.985212810348425,CR2
857,0.985212810348425,CAV1
3240,0.985134571249739,HP
9201,0.985082411850616,DCLK1
316,0.985030252451492,AOX1
2633,0.984952013352806,GBP1
1088,0.984952013352806,CEACAM8
4023,0.984847694554559,LPL
153,0.984847694554559,ADRB1
3202,0.984769455455873,HOXA5
29126,0.984717296056749,CD274
4609,0.984665136657626,MYC
891,0.984612977258502,CCNB1
983,0.984560817859378,CDK1
7298,0.984482578760693,TYMS
230,0.984482578760693,ALDOC
5266,0.984404339662007,PI3
5168,0.984326100563321,ENPP2
5054,0.984326100563321,SERPINE1
79682,0.984221781765074,CENPU
5999,0.984221781765074,RGS4
387914,0.984117462966827,SHISA2
94240,0.984117462966827,EPSTI1
