#id: 1825491670
#name: H.sapiens - Whole organism (Integrated)
#score: 31.9
#coverage: 99
#description: integrated dataset: weighted average of all H.sapiens WHOLE_ORGANISM: 31.9, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Human_PeptideAtlas_2011-08_Ens62.new:0.747;9606-PA_201408:0.075;HsapiensBuild242_May2010.peptides.new:0.043;peptideatlaBuild_March2009.peptides.new:0.041;Human_iBAQ_Khan_2013:0.038;9606_GPM_201408:0.036;GPM_2012_09_Homo_sapiens_-_ensembl:0.02;
#publication_year: 2025
#filename: 9606-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
SERPINA6	9606.ENSP00000342850	233
PRDX5	9606.ENSP00000265462	233
ECHS1	9606.ENSP00000357535	233
AHCY	9606.ENSP00000217426	232
IDH3A	9606.ENSP00000299518	231
SLC25A6	9606.ENSP00000370808	230
RAD23B	9606.ENSP00000350708	230
ETFA	9606.ENSP00000452762	230
CD59	9606.ENSP00000498879	229
RHOC	9606.ENSP00000285735	229
COX4I1	9606.ENSP00000457513	229
CSH1	9606.ENSP00000316416	228
CSH2	9606.ENSP00000376623	228
MYL6B	9606.ENSP00000450385	228
COL6A3	9606.ENSP00000295550	228
CAPN1	9606.ENSP00000431984	227
STMN1	9606.ENSP00000410452	226
CAV1	9606.ENSP00000339191	226
MACROH2A2	9606.ENSP00000362352	225
EEF1D	9606.ENSP00000410059	225
HNRNPF	9606.ENSP00000400433	225
CYB5A	9606.ENSP00000341625	224
C5	9606.ENSP00000223642	224
MYH7	9606.ENSP00000347507	224
MAPRE2	9606.ENSP00000300249	224
HBE1	9606.ENSP00000292896	224
PARP1	9606.ENSP00000355759	223
BLVRB	9606.ENSP00000263368	223
RPS13	9606.ENSP00000435777	223
RAB8A	9606.ENSP00000300935	222
RAB27B	9606.ENSP00000262094	221
GNG11	9606.ENSP00000248564	221
KRT6B	9606.ENSP00000252252	220
RPL27A	9606.ENSP00000346015	220
ERP29	9606.ENSP00000261735	220
HMGA1	9606.ENSP00000399888	218
HPRT1	9606.ENSP00000298556	218
KPNB1	9606.ENSP00000290158	217
MARCKSL1	9606.ENSP00000362638	217
PZP	9606.ENSP00000261336	217
SH3BGRL	9606.ENSP00000362308	217
DLD	9606.ENSP00000205402	216
SRSF1	9606.ENSP00000258962	216
GDI1	9606.ENSP00000394071	215
NRGN	9606.ENSP00000284292	215
ARF1	9606.ENSP00000440005	215
HADHB	9606.ENSP00000325136	214
EIF5AL1	9606.ENSP00000430706	214
LMNB1	9606.ENSP00000261366	213
DNM1L	9606.ENSP00000449089	213
SRP9	9606.ENSP00000305230	213
CNN2	9606.ENSP00000456436	213
CAT	9606.ENSP00000241052	212
CPN2	9606.ENSP00000319464	211
TUBB8	9606.ENSP00000456206	211
SNRPF	9606.ENSP00000266735	211
