gene_symbol,gc_content
ALG1L,0.45075292444904025
ALG1L2,0.5177564735484282
ALG1L9P,0.46076799428469367
ALG2,0.42606016672707503
ALG3,0.5140728476821192
ALG5,0.39393642456786737
ALG6,0.3793939052395779
ALG8,0.4208298624400567
ALG9,0.41223207352967733
ALK,0.43509789205187066
ALKAL1,0.4093457348537937
ALKAL2,0.4812782440284054
ALKBH1,0.42352610892756876
ALKBH2,0.5104702424687729
ALKBH3,0.4079667545104399
ALKBH3-AS1,0.4053706245710364
ALKBH4,0.5435891490841641
ALKBH5,0.5024370279421067
ALKBH6,0.5651553016779721
ALKBH7,0.6536426536426536
ALKBH8,0.36179700393550845
ALLC,0.4443694909156323
ALMS1,0.3868902171597559
ALMS1-IT1,0.3718278778962854
ALMS1P1,0.40953809828324067
ALOX12,0.4888480892152863
ALOX12-AS1,0.43301297698243263
ALOX12B,0.554538823685432
ALOX12P2,0.41856327071091615
ALOX15,0.5464135021097046
ALOX15B,0.5564795564795565
ALOX15P1,0.5010398423817863
ALOX5AP,0.4565938487507115
ALOXE3,0.5181009158458614
ALPG,0.6298114182381813
ALPI,0.6055303521278894
ALPK1,0.4044541190098846
