,dim1
DAZAP2,0.002650450596806618
PDCL2,0.000323375568835623
PTPN7,-0.0019211553217272778
LRRC52,-0.007989528826883377
ALCAM,0.003732636922347365
C1QTNF1,-0.005358411436734249
DNAJA3,-0.0008262505399215752
RIMKLA,0.00018184399126825956
RRS1,-0.0038140557148402723
SERF1A,-0.008066137553142826
ARID3A,-0.0018544208076929243
ELAVL2,0.010764214299404473
TSPAN17,0.0012367360130456648
CFAP70,0.001369271367804109
DUSP12,-0.0018668404547523513
KRT4,0.002812214396777315
ASPHD1,-0.00495084985801882
FNDC3A,0.008042309551907845
GLO1,0.0069406155191789574
ITFG2,0.0006157703035357508
OR13A1,-0.006999332653281729
THOC5,-0.0019682070052243704
VWA2,-0.007005654499989775
PRAMEF6,-0.005411836904813322
RAX2,-0.005878581509015223
PRDM7,-0.010750494842624933
C12orf56,-0.008306135270505407
ZFAND1,0.004218965969395781
CDH3,0.0006980792331577812
GRXCR2,-0.005522213692049854
CFAP300,-0.00398654252177335
OR6C2,-0.0009687026442632419
UNK,0.0019055661456491622
VWA7,-0.007857235072835953
FANCA,-0.002194225086443457
IGHV4-61,-0.0003885820117422005
FBXO36,-0.0021949915303629986
IGLC3,0.0009627420640846465
WNT8B,-0.006077548038677594
DHX8,0.00672820614703665
AVPI1,-0.006060476290254236
MS4A3,-0.005000168110686939
OR52A5,-0.004650024485554946
NKAIN4,0.00023095971746735772
EEF2KMT,-0.004088271229724675
DHX32,0.0024658347695134153
DRC7,-0.005241377703051886
FAM24A,-0.007579404872739491
NCAPD2,0.005032609388906293
PRDM11,-0.004119187895154246
SEPTIN3,0.008117317306950842
PCDH17,0.005804235866199384
COL23A1,-0.0004800448311739459
RGS13,0.00035559398729121387
NPY,-0.0008516745952326083
CCNF,-0.006153179388150992
MARCO,-0.0014854436872375973
STRA8,-0.011609547873626827
SPEF2,0.01946822737464862
FAM3B,-0.00014884309891116478
ZMYM4,0.00895960414541449
ATOX1,0.005194927772685677
BRD4,0.007550937138141791
IGKC,0.002350638116925579
ERG,0.0006769855848317183
FBH1,-0.0017610618792954092
RHEX,-0.005492627358656581
TAS1R3,-0.009251663246436207
KLF7,0.0034976148429541865
SCYGR4,-0.005341062529445221
PEX11B,-0.0040325293861155015
NXPE2,-0.006367907368691869
AKR1B1,0.004775818294986485
