Gene,MF.score
CLASP1,2.382824517623002e-4
NCAPH,7.658034684550802e-5
NUP62,1.3487850871305912e-4
NIPBL,2.476558520890305e-4
ANAPC15,4.339705015037396e-5
NSL1,2.039185394122732e-5
CHMP2B,1.2598148134281744e-4
LSM14A,2.392786502574109e-5
POLDIP2,4.674369684464565e-5
FBXO5,2.343087161262647e-4
AKAP8L,5.536537749947707e-5
TUBG2,4.7813329159451124e-5
VPS4A,3.315654397107542e-4
CHMP2A,2.0266261066195077e-4
EML4,8.730706984790455e-6
CHMP4A,1.1708669127208119e-4
RANGRF,1.0918752008073049e-4
UHRF1,1.2354391095639302e-4
NCAPH2,7.913299945374074e-5
WRAP73,6.928946675112578e-5
RMDN1,1.0967267956357224e-5
DYNC1LI1,6.31615917862022e-5
NUSAP1,1.4387954213486712e-5
ANAPC5,3.489082104006809e-5
ANAPC7,3.6249633049916115e-5
LCMT1,1.5602629256167703e-4
CHMP5,1.3152877856973012e-4
ANAPC11,3.9852406316159325e-5
CHMP3,1.3149068979339295e-4
INO80,6.194066070203172e-5
NCAPG2,3.699475761921448e-5
SPDL1,5.2515908617743946e-5
PINX1,1.0954994812875918e-4
ZWILCH,5.700827385421794e-5
CEP192,7.454303310174818e-5
CDK5RAP2,8.852434665049078e-5
PCID2,1.3911157825098163e-4
TEX14,9.100045419154226e-5
BCCIP,2.6568462329346638e-5
PSMG2,3.0994598652868585e-5
KIF15,3.063293530068138e-5
KNL1,3.593448421109127e-4
CHMP1B,1.3212677098582424e-4
SPC25,4.302431631586474e-5
CENPK,1.2755985192807242e-5
NCAPG,2.8692791396891043e-5
MIS12,3.0133432556108344e-5
CEP97,1.7465735935610327e-5
CHMP6,2.272532180528295e-4
MAP9,3.9794144668829805e-5
ANKRD53,2.0459639920709336e-5
CDT1,7.015662816468797e-5
SEH1L,3.663271132959684e-5
KIF18A,9.872046140551701e-5
NUF2,4.960423452234971e-5
HASPIN,3.467498709102013e-5
USP44,5.475490668671609e-5
ABRAXAS1,2.570724612607381e-5
PSRC1,2.9913914676988132e-5
KLHL22,8.763966324124775e-5
KNSTRN,1.8130608738490213e-5
BOD1,7.55219307338744e-5
CHMP7,1.1747640579588157e-4
CHMP4C,1.4662779113948932e-4
CDCA5,2.504337524285787e-5
PRAP1,2.296848792928565e-4
MISP,6.791560200533111e-5
CCSAP,8.054358222527315e-5
CHMP4B,1.3455111923602698e-4
DIS3L2,3.790538034168326e-5
PRICKLE1,5.114014285103056e-4
KIF18B,3.604225310194382e-5
SPC24,4.243600946343898e-5
PHF13,9.093676994290682e-6
SPICE1,1.412640666069514e-5
SKA1,1.485740256607116e-4
SKA3,1.4151618225220997e-4
EML3,1.7752039468762055e-5
CHAMP1,3.231880382473849e-5
NSMCE2,9.222591925167712e-5
SKA2,6.634375940095966e-5
GEN1,1.2070991520045363e-4
MZT1,9.689678083992516e-5
CCDC61,1.1445972920640832e-5
CHMP4BP1,7.815028019668217e-5
ATR,2.2752923530438437e-4
BARD1,2.3019244151864388e-4
CCND1,1.4559713059578787e-4
BRCA1,2.6523127022006203e-4
BRCA2,2.2260070974876425e-4
CCNG1,2.300045175021645e-5
CDC5L,3.121735148864658e-5
CDC6,6.85265328671482e-5
CDK2,2.522363518623412e-4
CDKN1A,2.7811958552200107e-4
FOXN3,1.5513562412803576e-5
PLK3,1.1723011694179985e-4
ATF2,3.929748104429214e-4
CRY1,2.1186163843936885e-4
MAPK14,1.847569446154875e-4
E2F1,6.414348509530095e-5
FANCD2,4.766826243093103e-5
H2AX,2.9559531764886684e-5
HUS1,6.399533556075583e-5
LYN,4.478637274671309e-4
FOXO4,5.124007318961093e-5
ORC1,3.2926399503792464e-5
PPP1R10,1.331462015231412e-4
PROX1,7.258299978825262e-4
PTPN11,3.517568381069059e-4
RAD1,7.615149716673018e-5
RAD9A,5.89215553076088e-5
RAD17,7.741172499396739e-5
RBBP8,5.603957429225804e-5
SETMAR,7.842243232458782e-5
XPC,1.7834853319078066e-4
CDC45,9.361861352760936e-5
CUL4A,4.909687386102887e-5
DGKZ,5.7099372414759834e-5
CDC14B,4.596134445868053e-5
MBTPS1,3.900801388708144e-5
IER3,7.333256860196809e-5
NAE1,5.1367112203795013e-5
BRSK2,7.223423113025338e-5
TAOK2,1.2132362399527132e-4
CLOCK,1.2876052084785563e-4
BABAM2,4.9528567405435805e-5
MDC1,1.742610204110579e-5
TTI1,5.2639833048682874e-5
TELO2,5.5698717832959396e-5
FEM1B,5.480963504667416e-5
TOPBP1,8.43323176792645e-5
TREX1,3.660857737693981e-4
STK38,4.114564506209763e-5
UFL1,2.3765254761538824e-4
BRD4,1.3877999655926085e-4
INTS7,1.3758273755009466e-5
SYF2,2.3103766814339028e-5
HINFP,7.3673186656306965e-6
GIGYF2,5.8325566429325964e-5
FBXO6,1.1894810520833525e-5
FBXO4,4.321940207420077e-5
PRPF19,5.1645752267180465e-5
BABAM1,3.047642992581695e-5
RPA4,1.9223930035547817e-5
DONSON,2.4486619254578994e-5
WAC,3.2066785884111294e-5
FZR1,8.772334548795999e-5
TAOK3,3.857810179541902e-5
MBTPS2,5.799403851184009e-5
DTL,3.770707471402474e-5
UIMC1,3.754077180568005e-5
MAP3K20,2.028223036663373e-4
ETAA1,2.0433719107115305e-5
GNB1L,2.6190058754148044e-6
NSUN2,1.6969983371910392e-4
TIPIN,5.8063067067017334e-5
RFWD3,2.991296624123656e-5
CHFR,1.0407591637782714e-4
TRIM39,2.1471685533876422e-5
TAOK1,5.49533301728419e-5
USP28,1.7197965054011318e-5
CAMSAP3,1.5756247127966423e-4
CCAR2,8.132195878658005e-5
INIP,2.097486143191977e-5
RINT1,3.4572923987194584e-5
CLSPN,2.797937646924288e-5
NABP1,2.1855872389279668e-5
INTS3,2.7508400191926355e-5
STK33,1.9465315123767105e-5
NABP2,6.263247216632736e-5
BRCC3,6.381541343246701e-5
RNASEH2B,2.9203768741089318e-5
FBXO31,2.153559608932347e-5
NEK11,1.4307743628191399e-5
WDR76,7.055888562793271e-6
TTI2,3.459522367244241e-5
MUS81,1.4925633798074233e-4
CEP63,5.7584568595414414e-5
CDK5RAP3,1.2126896917155332e-4
PARP9,1.720206186414907e-4
RHNO1,3.0421897439411273e-5
BRIP1,1.2842104236643462e-4
HORMAD1,7.419166319309692e-5
ATRIP,3.09735500608799e-5
DOT1L,1.1700863595329696e-4
BRSK1,7.636190542502179e-5
ZFYVE19,8.668546539101559e-5
TICRR,2.4287828538709514e-5
ZNF830,7.555860458856718e-5
PABIR1,2.024510229268346e-5
HUS1B,6.160726146197868e-5
RAD9B,2.2596191715850354e-5
EME1,8.826745366419658e-5
DTX3L,1.8566622368971125e-4
SDE2,2.5680918519227113e-5
EME2,5.857027886973604e-5
TIPRL,1.0133278567742984e-5
EIF2AK4,2.64210693224313e-4
AKT1,7.253687452510754e-4
CCND2,5.298099839832444e-5
CCND3,7.863596275779837e-5
CCNT1,6.587078193179002e-5
